12	0	
12	1	
11	2	
12	3	
12	4	
12	5	
12	6	
12	7	
11	8	
12	9	
12	10	
12	11	
12	12	
12	13	
12	14	
12	15	
12	16	
12	17	
12	18	
12	19	
12	20	
11	21	
11	22	
12	23	
11	24	
12	25	
12	26	
11	27	
12	28	
12	29	
12	30	
12	31	
11	32	
12	33	
11	34	
12	35	
12	36	
12	37	
12	38	
12	39	
12	40	
12	41	
12	42	
11	43	
12	44	
12	45	
12	46	
12	47	
11	48	
12	49	
11	50	
11	51	
12	52	
12	53	
12	54	
12	55	
12	56	
12	57	
11	58	
12	59	
12	60	
11	61	
12	62	
12	63	
12	64	
12	65	
12	66	
11	67	
12	68	
11	69	
12	70	
12	71	
12	72	
11	73	
11	74	
12	75	
12	76	
12	77	
12	78	
12	79	
12	80	
12	81	
12	82	
12	83	
12	84	
11	85	
12	86	
12	87	
12	88	
12	89	
12	90	
12	91	
11	92	
12	93	
12	94	
12	95	
12	96	
12	97	
11	98	
12	99	
