15	0	
15	1	
15	2	
15	3	
14	4	
15	5	
14	6	
15	7	
15	8	
15	9	
14	10	
14	11	
15	12	
15	13	
15	14	
14	15	
15	16	
15	17	
15	18	
15	19	
15	20	
15	21	
15	22	
14	23	
15	24	
15	25	
14	26	
15	27	
15	28	
14	29	
14	30	
15	31	
15	32	
14	33	
15	34	
15	35	
15	36	
15	37	
15	38	
15	39	
15	40	
15	41	
15	42	
15	43	
15	44	
15	45	
15	46	
14	47	
15	48	
15	49	
15	50	
14	51	
15	52	
15	53	
15	54	
15	55	
14	56	
14	57	
14	58	
15	59	
15	60	
15	61	
14	62	
14	63	
15	64	
14	65	
14	66	
15	67	
15	68	
15	69	
15	70	
15	71	
14	72	
15	73	
15	74	
15	75	
15	76	
14	77	
15	78	
15	79	
15	80	
15	81	
15	82	
15	83	
14	84	
15	85	
15	86	
14	87	
15	88	
15	89	
15	90	
14	91	
14	92	
15	93	
14	94	
15	95	
15	96	
15	97	
15	98	
15	99	
